message_id,action,message_type,reason,confidence,evidence_message_ids
msg_015,mute,scam,"Message asks the user to share a security code, a known account-takeover pattern.",0.95,none
msg_051,mute,promotion,"The user opted out of promotions from this business, so marketing messages are muted.",0.92,message_0257;message_0402;message_0104
msg_097,digest,personal,"The sender explicitly states there is nothing urgent and requests to talk tomorrow, which aligns with the user's history of receiving and reading similar non-urgent messages.",0.9,message_0054;message_0225;message_0167
msg_089,notify,personal,"The message is a direct, time-sensitive notification from a known entity regarding a personal item that requires action before a specific deadline.",0.9,none
msg_053,mute,promotion,"The message was forwarded 6 times, indicating mass-forwarded chain content rather than a personal message.",0.91,none
msg_059,mute,scam,"The message uses high-pressure tactics and requests sensitive account information, which is a clear indicator of a phishing scam.",0.9,message_0213
msg_024,mute,promotion,"The user opted out of promotions from this business, so marketing messages are muted.",0.92,message_0257;message_0402;message_0104
msg_072,mute,scam,"The message uses high-pressure tactics and a suspicious link to solicit sensitive credentials, mirroring previous scam attempts the user has received.",0.9,message_0023;message_0045;message_0085
msg_036,mute,scam,Business sender shows scam signals: sender domain 'razorpayx-payouts.com' does not match official domain 'razorpayx.com'; account is unverified; sender domain is very new.,0.94,message_0283;message_0127;message_0128
msg_076,mute,scam,Business sender shows scam signals: sender domain 'talabat-refund.com' does not match official domain 'talabat.com'; account is unverified; high user report rate; sender domain is very new.,0.94,message_0207;message_0208;message_0159
msg_055,notify,urgent,"The sender is requesting an immediate decision within a ten-minute window, which aligns with the user's history of responding to time-sensitive requests.",0.9,message_0166;message_0387
msg_102,notify,urgent,The message is a direct work-related request from a known context where the user has a history of immediate engagement and action.,0.9,message_0230;message_0371;message_0059
msg_080,notify,event,The message is a time-sensitive logistics update from a society group the user actively manages and responds to.,0.9,message_0216;message_0130;message_0180
msg_093,digest,business_update,"The message arrived during quiet hours and is not an emergency, so it is better suited for a digest despite being a legitimate business update.",0.9,message_0398;message_0349
msg_034,mute,greeting,"The message was forwarded 11 times, indicating mass-forwarded chain content rather than a personal message.",0.91,message_0013;message_0014;message_0241
msg_035,digest,promotion,"This is a marketing message from a known business that the user has previously opened, but it does not require immediate attention.",0.9,message_0281;message_0125
msg_101,digest,personal,The message is a non-urgent personal check-in that arrived during quiet hours and explicitly states no reply is needed.,0.9,message_0229;message_0370;message_0268
msg_041,mute,scam,"The sender is impersonating a known business but uses an unofficial domain and requests a link interaction, which is a common phishing tactic.",0.9,none
msg_011,mute,greeting,"The message was forwarded 8 times, indicating mass-forwarded chain content rather than a personal message.",0.91,message_0014;message_0013;message_0171
msg_110,mute,scam,"Message asks the user to share a security code, a known account-takeover pattern.",0.95,message_0238;message_0381
msg_095,mute,scam,"The message uses a deceptive link and requests sensitive credentials like a PIN, matching the pattern of previously reported scam attempts.",0.9,message_0201;message_0183;message_0087
msg_074,mute,promotion,"The message was forwarded 7 times, indicating mass-forwarded chain content rather than a personal message.",0.91,message_0358;message_0203;message_0204
msg_073,mute,forward,"The message was forwarded 9 times, indicating mass-forwarded chain content rather than a personal message.",0.91,message_0087;message_0201;message_0183
msg_054,mute,scam,"The message uses classic pressure tactics and requests an advance fee for a loan, which matches the pattern of previous scams the user has reported.",0.9,message_0164;message_0163;message_0389
msg_068,digest,event,The sender explicitly states there is no urgency and the user is a regular participant in this group's planning discussions.,0.9,message_0191
msg_100,notify,urgent,"The message indicates a time-sensitive technical escalation requiring immediate attention, matching the user's history of responding to similar urgent work-related alerts.",0.9,message_0362;message_0228
msg_062,mute,forward,"The message was forwarded 7 times, indicating mass-forwarded chain content rather than a personal message.",0.91,none
msg_096,notify,urgent,"The message concerns the recovery of a critical personal document (passport) with a same-day deadline, requiring immediate attention.",0.9,none
msg_043,mute,forward,"The message was forwarded 11 times, indicating mass-forwarded chain content rather than a personal message.",0.91,none
msg_077,digest,event,"The message contains school logistics that are important but arrive during the user's quiet hours, and the user has a history of engaging with similar school circulars.",0.9,message_0051;message_0037;message_0403
msg_081,notify,event,"The message provides a time-sensitive same-day schedule change for school transport, which the user has historically engaged with and acted upon.",0.9,message_0217
msg_025,notify,business_update,"This is a transactional update from a verified business regarding an active order, which the user has historically engaged with.",0.9,message_0004;message_0239;message_0105
msg_084,mute,promotion,"The user opted out of promotions from this business, so marketing messages are muted.",0.92,message_0220;message_0356;message_0203
msg_022,mute,scam,"The message uses pressure tactics and requests payment via an unofficial link and screenshot, mirroring previous scam attempts reported by the user.",0.9,message_0099;message_0151;message_0100
